"","Sex","Body_Weight","Body_Length","Tail_Length","Chest_Girth","Shoulder","Hind_Foot","Right_Ear","Eye_Snout"
"1","F",79,133.8,11.5,104.3,67,27.5,13,20.5
"2","F",65,117.3,18.5,99,62,25.4,14,18
"3","F",71,138.5,22,118,64,24,14.2,18.9
"4","M",104,146,26.3,110.8,82,28.2,16,24.5
"5","M",64,134.4,18.2,96,58.2,28.1,12,17.7
"6","M",112,145,26.5,114,82.8,31.4,14.2,23.5
"7","F",18,84.9,13.2,60.9,45,15.3,8.4,12.7
"8","M",20,86.7,13.6,66.5,46,16.2,8.9,12.5
"9","M",16,84,12.5,55,45.4,16.2,8,12.5
"10","M",18,80.7,12,63.6,45,17,8.5,12.2
"11","M",22,91.5,13,68,48.7,17,9.4,12.4
"12","F",30.6,101,19,83,53.7,20.9,10.6,15.3
"13","M",41,105,21,77.3,60.5,22.2,11,15.3
"14","M",40,109.6,17,82.5,54.7,21.5,11.5,15.5
"15","M",38,110.9,17.4,82.8,56,24,11,14.7
"16","M",62.8,134,21,95,69,26.5,11,21.5
"17","M",63,130,22.2,100.5,68.5,26,11.5,19
"18","F",58,119.6,19.2,91,57.6,25.7,12,16.5
"19","F",89,134,26.5,103.4,66.8,27.4,13.7,19.1
"20","F",73,127.8,22,100,63.1,23.7,14.4,18.3
"21","F",59,123.7,22.5,89.9,65.4,28,12.9,18.5
"22","M",53,122,23.5,91,64.5,26.5,13,18.5
"23","M",60,130.7,21.2,91.3,65.6,27.5,13.9,20.4
"24","F",4.2,44.8,10.4,28.8,24.8,10.6,5.6,6.4
"25","M",8.3,60.6,11.7,38.9,28.1,13,7.7,9.6
"26","F",55,132.5,19,88,67.7,25.2,11.6,18.5
"27","M",89,145.7,30.5,101.5,76,29.3,15.5,22.5
"28","F",8,61.5,11.7,43.6,31.5,14,7,8.5
"29","M",5.5,53.1,11.5,33.5,29.1,12,6.7,9.2
"30","F",6,58.5,12,39,31.4,13.5,6.9,8.3
"31","F",4,46.4,10.4,29.5,24.4,11,5.6,6.2
"32","F",7,56.4,10.6,40.4,27.4,13,7,8.1
"33","F",4.5,53,10.7,32.2,27,12.4,6.8,7.3
"34","F",4,43.7,8.8,26.1,23.4,10.3,5.1,6.3
"35","M",6.5,58.3,10.3,36,31,13.2,6.5,8.3
"36","M",6,58.1,10.8,36.9,29,13.4,6.4,8
"37","M",4.5,51.3,10.5,29.8,26.1,11.7,6.7,7.5
"38","M",5,51,9.4,35.4,26.5,11.7,6.5,7.5
"39","M",7,60.1,15,37.9,30.5,13.9,7.1,9
"40","M",7,54.2,9,38,27.6,13.4,7,8.1
"41","M",8.5,58.7,10,38.5,32.2,13.2,6.6,8.3
"42","M",9,60.3,9.5,44,31.4,14,6.5,8.7
"43","M",9,59,10,41.5,27.4,13.6,5.9,8.7
"44","M",39,106.2,17.6,75.8,55,25.9,11.3,14.8
"45","F",62,106.3,20,92.2,56.5,22.7,11,15.2
"46","F",45.5,114,18.5,90.9,58.2,23,12.2,16
"47","F",68.6,142.5,23,94.5,73.5,28,12.5,23
"48","M",39,116.5,19,81.9,55.7,25.9,11.2,16.2
"49","M",57,120.5,23.7,98,66,21.7,13,16
"50","M",60,130,24.3,92.6,67.5,26,12,19.1
"51","M",70.1,126,8.3,102,71.3,26.5,13.5,20.1
"52","M",60,127.8,21.9,97,65,23.5,13,19.5
"53","M",95,142,30,112.2,79.5,27,16.5,23
"54","M",102.1,147.3,21.2,109.2,77.5,26,15.2,24.9
"55","F",16,82.2,16.5,53.5,43.5,16.7,9,11.5
"56","F",50.8,114.7,21.2,94.6,63,21.9,12.3,17.4
"57","M",59,125.7,23.5,100.1,60.2,22,12.3,17.2
"58","F",6.9,61,9.2,42,32.5,13.5,6.5,8.5
"59","F",19,82.6,15.6,57.9,43.2,15.7,9.5,11.3
"60","M",17.1,88.3,15.4,59,46.1,17.7,9,11.9
"61","F",91.6,126.4,NA,99.7,73.6,28.6,NA,20.1
"62","M",55.8,121.9,NA,83.3,66.1,26.6,NA,19.7
"63","M",56.2,120.7,NA,86.4,69.2,25.7,NA,19
"64","M",74,132,31.5,96.4,71,28.8,13,19.5
"65","F",49.9,118.1,NA,81.3,62.2,25.4,NA,17.1
"66","F",51.7,109.2,NA,79.4,64.8,28.6,NA,16.5
"67","F",43.5,105.4,NA,75.2,59.7,24.9,NA,15.2
"68","F",53.5,124.5,NA,85.7,65.5,28.6,NA,16.5
"69","F",45.4,108.6,NA,81.3,55.9,24.1,NA,14.6
"70","F",30.7,105.5,17.7,75,58.7,20.6,11.4,15.3
"71","M",43.5,100,NA,76.2,59.7,26.7,NA,15.9
"72","M",40.8,109.2,NA,79.4,64.8,28.6,NA,16.5
"73","M",30.8,107.1,18.5,82.9,58.5,19,12.2,16.7
"74","F",11,72.7,13.6,48.5,36.7,13.6,8,10
"75","F",15,77.3,14,53.4,38.2,15,9,10.7
"76","M",8.1,65,11,44.8,32,14.7,6.3,8.6
"77","M",46.3,109.2,NA,83.8,58.4,25.4,NA,15.9
"78","M",47,136,24,79.5,65.5,24.5,15,19.5
"79","M",50,121.5,22.5,87.5,66,25,12,18.5
"80","M",53,126,29,87,60.5,25.7,14,17.5
"81","M",77.11,143.2,21,102.7,75.4,27.2,12.8,21.1
"82","F",5,51,11,31,25.1,11.2,6.5,8
"83","F",4.5,51.5,12,30.6,27.5,11.8,6.9,7.4
"84","F",8.2,72.4,14,53.3,30.5,16.5,8.9,10.2
"85","M",4.5,52.5,12,30.5,25.8,11.5,6.5,7.2
"86","M",4.5,52.3,11,29.9,27.4,12,6.9,7.7
"87","M",3.5,48.7,9.4,29.5,27.5,10.6,6.2,7.5
"88","M",4,52,10.5,29.3,26.5,11.4,6.1,7.9
"89","F",14,75.5,14.2,55.3,37.3,14.3,9,9.8
"90","M",7.6,65,10.2,44.9,34.3,14.1,7.1,9.5
"91","M",50.8,122,NA,85.1,62.2,26.7,NA,17.1
"92","F",58,122.1,24.5,91.5,64.8,25.9,12,17.3
"93","F",51,111.1,20.5,84.4,59.5,24.5,13,16.2
"94","F",65,115.8,23.4,90.4,60.6,24.7,11.4,17.4
"95","M",60,129.2,19.5,99.6,57.5,24.3,12.8,18
"96","M",8.7,61,10,46.5,34.5,15,6.4,8.5
"97","F",52.3,115,20.1,93.5,61,23.4,14.2,16.5
"98","F",50.9,121,19.5,102.3,63.5,19.1,13.5,17
"99","F",60.3,129.5,20.5,97.2,59.5,20.7,13.2,16.8
"100","F",49.9,127,20.3,88.9,81.3,22.9,12.7,19.8
"101","F",30.3,103.3,16.5,80.8,53.8,21.3,11.4,14.8
"102","F",30.9,107,20,81.5,56,21,12,15.7
